URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,159,-26,1.3909774331505456,0.16750629701825404,28.0,0.42142857142857143,11.368571428571428,39.7,236,560,1.9823677581863979,6,5.647355163727959
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,8,-3,2.199999560000088,0.056179774649665455,24.0,0.3194444444444444,9.727777777777778,29.666666666666668,23,72,1.9213483146067416,1,6.067415730337078
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,11,-3,1.7499997812500274,0.08791208694602103,24.0,0.375,9.75,30.333333333333332,27,72,1.934065934065934,3,5.989010989010989
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,9,-4,2.599999480000104,0.05494505434126314,24.0,0.375,9.75,30.333333333333332,27,72,1.967032967032967,2,6.021978021978022
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,9,-3,1.9999996666667221,0.06666666592592593,24.333333333333332,0.3835616438356164,9.88675799086758,30.0,28,73,1.988888888888889,1,6.166666666666667
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,8,-3,2.199999560000088,0.05681818117252067,23.0,0.37681159420289856,9.350724637681159,29.333333333333332,26,69,1.9431818181818181,3,6.056818181818182
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,8,-3,2.199999560000088,0.056179774649665455,24.333333333333332,0.3424657534246575,9.870319634703197,29.666666666666668,25,73,1.898876404494382,1,5.98876404494382
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,7,-3,2.499999375000156,0.04444444395061729,24.666666666666668,0.33783783783783783,10.001801801801804,30.0,25,74,1.9111111111111112,1,6.044444444444444
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,9,-4,2.599999480000104,0.04950495000490149,28.0,0.36904761904761907,11.347619047619048,33.666666666666664,31,84,1.9801980198019802,1,6.089108910891089
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,8,-3,2.199999560000088,0.047619047165532884,27.666666666666668,0.3373493975903614,11.201606425702813,35.0,28,83,1.8761904761904762,4,5.685714285714286
bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,8,-3,2.199999560000088,0.05434782549621929,25.333333333333332,0.3815789473684211,10.285964912280702,30.666666666666668,29,76,1.9891304347826086,1,6.195652173913044
bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,125,-16,1.2935779697836884,0.16515151490128557,13.764705882352942,0.297008547008547,5.624685771744596,19.41176470588235,139,468,1.8242424242424242,6,5.6469696969696965
bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,82,-21,1.688524562483204,0.1425233641529828,17.235294117647058,0.35494880546075086,7.036097169243124,25.176470588235293,104,293,1.8317757009345794,7,5.5
bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,45,-7,1.3684210166204998,0.15261044115417494,21.25,0.3176470588235294,8.627058823529412,31.125,54,170,1.8072289156626506,2,5.449799196787149
bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,104,-16,1.363636348140496,0.14426229484547165,12.483870967741936,0.3488372093023256,5.133083270817705,19.677419354838708,135,387,1.8147540983606558,38,5.377049180327869
bctech2026,https://insights.blackcoffer.com/text-summarizing-tool-to-scrape-and-summarize-pubmed-medical-papers/,119,-19,1.3799999862,0.19047619011337868,15.772727272727273,0.3804034582132565,6.461252292376212,23.863636363636363,132,347,1.8476190476190477,23,5.619047619047619
bctech2027,https://insights.blackcoffer.com/7up7down-10updown-snakes-and-ladder-games-built-using-oops/,106,-22,1.5238095056689345,0.17427385855959782,14.818181818181818,0.37423312883435583,6.07696597880647,21.90909090909091,122,326,1.8236514522821576,12,5.452282157676349
